start_time,end_time,J1_int,J2_int
0.25,1.5,42.5060233697341,97.738088678586
1.5,3,143.20894950739,324.125270794604
3,4.5,2.73778273183359,6.03008806035161
4.5,6,0.24545144581333,0.566510355372869
0.25,6,188.698207054771,428.459957888914
